character_name,gender,banner_revenue,story_impact,design_complexity,rarity,meta_tier,body_type,release_date,new_outfit,popularity_scale
Aino,Female,N/A,4,3,4 Stars,A,Short Female,10-Sep-25,N/A,3
Albedo,Male,"$11,816,107",5,3,5 Stars,S,Medium Male,23-Dec-20,N/A,5
Alhaitham,Male,"$9,180,930",5,4,5 Stars,A,Tall Male,18-Jan-23,N/A,5
Aloy,Female,N/A,0,1,5 Stars,D,Medium Female,01-Sep-21,N/A,0
Amber,Female,N/A,3,2,4 Stars,D,Medium Female,28-Sep-20,FREE OUTFIT,2
Arataki Itto,Male,"$13,404,072",2,3,5 Stars,B,Tall Male,14-Dec-21,N/A,4
Arlecchino,Female,"$119,000,000",5,5,5 Stars,S,Tall Female,24-Apr-24,N/A,5
Baizhu,Male,"$9,108,580",2,4,5 Stars,S,Tall Male,02-May-23,N/A,3
Barbara,Female,N/A,  ,2,4 Stars,C,Medium Female,28-Sep-20,EVENT/PAID,2
Beidou,Female,N/A,3,3,4 Stars,B,Tall Female,28-Sep-20,N/A,3
Bennett,Male,N/A,5,4,4 Stars,SS,Medium Male,28-Sep-20,EVENT/PAID,5
Candace,Female,N/A,2,4,4 Stars,C,Tall Female,28-Sep-22,N/A,1
Charlotte,Female,N/A,1,3,4 Stars,A,Medium Female,08-Nov-23,N/A,1
Chasca,Female,"$17,000,000",3,4,5 Stars,S,Tall Female,20-Nov-24,N/A,3
Chevreuse,Female,N/A,1,3,4 Stars,SS,Medium Female,09-Jan-24,N/A,2
Chiori,Female,"$7,000,000",1,3,5 Stars,A,Medium Female,13-Mar-24,N/A,2
Chongyun,Male,N/A,3,2,4 Stars,C,Medium Male,28-Sep-20,N/A,3
Citlali,Female,"$35,030,000",4,3,5 Stars,SS,Medium Female,01-Jan-25,N/A,4
Clorinde,Female,"$27,000,000",4,5,5 Stars,A,Tall Female,05-Jun-24,N/A,5
Collei,Female,N/A,4,3,4 Stars,B,Medium Female,24-Aug-22,N/A,3
Columbina,Female,"$22,000,000",5,5,5 Stars,SS,Medium Female,14-Jan-26,N/A,5
Cyno,Male,"$95,26,011.5",4,3,5 Stars,B,Medium Male,28-Sep-22,N/A,3
Dahlia,Male,N/A,3,4,4 Stars,C,Medium Male,18-Jun-25,N/A,3
Dehya,Female,"$65,99,023",3,3,5 Stars,C,Tall Female,01-Mar-23,N/A,2
Diluc,Male,STANDARD,5,3,5 Stars,B,Tall Male,28-Sep-20,PAID OUTFIT,5
Diona,Female,N/A,3,2,4 Stars,A,Short Female,11-Nov-20,N/A,2
Dori,Female,N/A,4,3,4 Stars,C,Short Female,09-Sep-22,N/A,3
Durin,Male,"$17,000,000",5,5,5 Stars,SS,Medium Male,03-Dec-25,FREE OUTFIT,5
Emilie,Female,"$5,000,000",1,4,5 Stars,S,Medium Female,06-Aug-24,N/A,2
Escoffier,Female,"$17,000,000",2,4,5 Stars,SS,Medium Female,07-May-25,N/A,5
Eula,Female,"$12,619,390",3,4,5 Stars,C,Tall Female,18-May-21,N/A,5
